Slang;Formal
masturbate;masturbasi
denger;dengar
kmrn;kemarin
kemaren;kemarin
bdg;bandung
ikutt;ikut
oengen;ingin
kelen;kalian
lamaaaaa;lama
fresh;segar
kuliat;lihat
isoo;bisa
abes;habis
muzikgempak;musik
pinter;pintar
diaa;dia
jugaa;juga
males;malas
hariini;hari
smgt;semangat
konsen;konsentrasi
fav;suka
tehthering;tethering
sialllllllllll;sial
tmn;teman
cowo;cowok
sumpe;sumpah
cheating;curang
cheat;curang
kakel;kakak tingkat
sangatttt;sangat
habisla;habis
keasikan;asyik
regis;registrasi
itung;hitung
welcome;selamat datang
muk;ingin
masterpiece;mahakarya
cororong;corona
gatay;tidak tahu
entar;nanti
nongkrrong;kumpul
eren;keren
iyegahhh;tidak
dirumaahh;rumah
mandipun;mandi
dha;sudah
korona;corona
klen;kalian
anjg;anjing
beneerr;benar
bangeettt;sekali
bpk;bapak
macem;macam
adlh;adalah
penat;pusing
sekola;sekolah
tapii;tapi
kdng;kadang
kaliam;kalian
hayuk;ayo
party;pesta
embo;tidak tahu
bolot;tuli
budeg;tuli
omg;tuhan
bundir;bunuh diri
pengin;ingin
sad;sedih
alpokat;alpukat
avocado;alpukat
reformasj;reformasi
tkut;tidak
mengajarr;ajar
ajarr;ajar
cintaim;cinta
probably;mungkin
overthinking;pikir
betulllll;benar
doswn;dosen
seger;segar
rona;corona
sepineee;sepi
polllllll;sangat
orgorg;orang
dn;dan
mudeng;paham
problem;masalah
hrus;harus
schedule;jadwal
gasik;tidak
stgh;setengah
goblokkk;bodoh
lagiiii;lagi
alloh;allah
ln;lain
gaadak;tidak ada
jaman;zaman
etapi;tapi
bgtt;sekali
iyaaaaa;iya
sng;senang
connection;koneksi
ikt;ikut
adapted;adaptasi
seneng;senang
weird;aneh
konsul;konsultasi
pa;bapak
maloee;malu
lagii;lagi
pakek;pakai
semangak;semangat
menurutgw;nurut
tbh;jujur
internship;magang
scholarship;beasiswa
ilmunyaaa;ilmu
djancokk;jancuk
serep;serap
enjoy;nikmat
plan;rencana
hopefully;harap
ginii;begini
brpa;berapa
tarsoktarsok;nanti
panikk;panik
bangeeet;sekali
ambyarrrrr;hancur
ampunddd;ampun
maen;main
wayahe;waktu
hape;hp
entok;dapat
kiraiin;kira
asw;anjing
monangesss;nangis
punyaaaaa;punya
adi;adik
pgen;ingin
music;musik
favorite;suka
sbgai;sebagai
gabs;tidak bisa
jdny;jadi
gada;tidak ada
sajahh;saja
bapa;bapak
without;tanpa
bilding;gedung
stuffs;barang
normalize;normal
kmi;kami
afternoon;sore
gilak;gila
ndaa;tidak
gituu;gitu
mslah;masalah
drumah;rumah
tntang;tentang
ripyuu;tinjau
sinyal;jaringan
meneh;lagi
anaku;anak
aja;saja
akn;akan
aku;saya
amien;aamiin
amin;aamiin
and;dan
anda;kamu
ane;saya
ap;apa
aps;apa
aq;saya
bag;bagian
banget;sangat
beud;sangat
bgmn;bagaimana
bgt;sangat
bkan;bukan
bl;bila
blg;bilang
blh;boleh
blm;belum
blm;belum
blom;belum
blum;belum
bpk;bapak
bs;bisa
bsa;bisa
bsk;besok
cb;coba
cm;hanya
cma;hanya
cuma;hanya
d;di
dg;dengan
dgn;dengan
dlm;dalam
dn;dan
dng;dengan
dpt;dapat
dr;dari
dr;dari
drpd;daripada
dsar;dasar
dy;dia
dya;dia
en;dan
enggak;tidak
ente;kamu
g;tidak
ga;tidak
gak;tidak
gitu;begitu
gk;tidak
gt;begitu
gtau;tidak tahu
gua;saya
gub;gubernur
gue;saya
gw;saya
hny;hanya
hrs;harus
hrs;harus
hrus;harus
insaallah;insyaa allah
insallah;insyaa allah
insyaallah;insyaa allah
insyallah;insyaa allah
iye;iya
jd;jadi
jdi;jadi
jg;juga
jga;juga
jgn;jangan
jgn;jangan
jlas;jelas
jls;jelas
jng;jangan
kalo;kalau
karna;karena
kau;kamu
kayak;seperti
kl;kalau
klh;kalah
klo;kalau
klu;kalau
klw;kalau
km;kamu
knapa;kenapa
ko;kok
